OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
1,WANES,WA DNR - NE Region,Red Lake,Unknown,1997-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,1150.8925627,1997,Unknown,50132679.5,37331.8932622505
2,WANES,WA DNR - NE Region,Buckeye,Unknown,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,227.33273899,1987,Unknown,9902574.5,15985.2274111208
3,WANES,WA DNR - NE Region,Stony Peak,Unknown,1985-01-01T00:00:00.000Z,1985-01-01T00:00:00.000Z,289.5896455,1985,Unknown,12614474.5,15780.7544788298
4,WANES,WA DNR - NE Region,Liberty Lake,Unknown,1985-01-01T00:00:00.000Z,1985-01-01T00:00:00.000Z,855.37991371,1985,Unknown,37260200,38532.7122401374
5,WANES,WA DNR - NE Region,Rail Canyon,Unknown,1994-08-01T00:00:00.000Z,1994-08-01T00:00:00.000Z,102.0968386,1994,Unknown,4447320.5,7985.87123124942
6,WANES,WA DNR - NE Region,Cork Screw,Unknown,1994-08-01T00:00:00.000Z,1994-08-01T00:00:00.000Z,185.87267875,1994,Unknown,8096581.5,11092.84839353
7,WANES,WA DNR - NE Region,Owens Rd,Unknown,1994-08-01T00:00:00.000Z,1994-08-01T00:00:00.000Z,127.00405485,1994,Unknown,5532274.5,9024.13264378033
8,WANES,WA DNR - NE Region,Newkirk - Old Trail Rd,Unknown,1997-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,772.41805753,1997,Unknown,33646396,29728.5893173951
9,WANES,WA DNR - NE Region,Riverside,Unknown,1994-08-01T00:00:00.000Z,1994-08-01T00:00:00.000Z,455.86572383,1994,Unknown,19857431.5,21359.7259983742
10,WANES,WA DNR - NE Region,Unknown,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,407.72478287,1991,Unknown,17760420.5,25519.9609318938
11,WANES,WA DNR - NE Region,Unknown,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,235.15460223,1991,Unknown,10243293.5,13718.8566054855
